,Player_Name,Year,Rounds,Avg_Score,Wins,Top_10,Points,Fairway_Pct,Avg_Drive_Distance,GIR_Pct,Scrambling_Pct,Avg_SG_Putts,Avg_SG_OTT,Avg_SG_APP,Avg_SG_Total,Earnings
42,Pat Perez,2018,82,70.594,1.0,4.0,1116.0,65.09,290.9,67.78,55.63,0.115,-0.063,-0.138,-0.048,"$2,962,641 "
43,Lucas Glover,2018,65,71.066,0,1.0,324.0,65.06,297.7,67.12,59.83,-0.186,0.514,-0.043,0.276,"$789,382 "
44,Richy Werenski,2018,98,71.185,0,2.0,498.0,65.06,291.8,66.97,56.49,-0.109,0.077,-0.169,-0.124,"$1,081,283 "
45,Hunter Mahan,2018,67,71.135,0,1.0,234.0,65.04,296.9,68.96,58.81,0.346,0.465,-0.149,0.209,"$457,337 "
46,Francesco Molinari,2018,73,69.797,2.0,4.0,1682.0,65.04,301.0,70.24,58.67,-0.487,0.69,0.593,1.123,"$5,065,842 "
47,Fabiíçn Gí_mez,2018,88,71.02,0,0,221.0,64.99,291.1,67.86,58.85,0.001,-0.062,-0.015,-0.106,"$437,032 "
48,Tommy Fleetwood,2018,73,69.342,0,5.0,1130.0,64.98,306.9,69.36,55.77,0.324,0.58,0.405,1.606,"$3,935,147 "
49,Graeme McDowell,2018,67,71.001,0,1.0,274.0,64.92,293.2,64.5,59.95,0.478,0.124,0.046,0.697,"$581,024 "
50,Louis Oosthuizen,2018,62,70.157,0,3.0,620.0,64.81,299.8,65.74,64.26,-0.026,0.401,-0.261,0.521,"$1,731,493 "
51,Chad Campbell,2018,87,71.683,0,2.0,361.0,64.7,286.5,65.54,59.39,-0.454,-0.042,-0.01,-0.484,"$801,960 "
52,Blayne Barber,2018,69,70.835,0,0,202.0,64.67,294.7,69.98,57.46,-0.022,0.101,-0.047,-0.041,"$398,137 "
53,Michael Thompson,2018,62,70.924,0,0,280.0,64.66,296.4,70.11,55.77,0.498,-0.073,-0.423,0.052,"$563,972 "
54,Chris Kirk,2018,108,70.411,0,4.0,756.0,64.64,289.8,68.24,63.53,0.073,-0.048,0.518,0.732,"$1,824,111 "
55,Daniel Berger,2018,81,70.32,0,1.0,565.0,64.58,297.7,66.89,58.94,0.319,0.1,0.543,0.816,"$1,721,763 "
56,Hudson Swafford,2018,73,71.619,0,0,245.0,64.57,302.8,68.99,54.01,-0.26,0.225,-0.237,-0.492,"$569,391 "
57,Bronson Burgoon,2018,69,70.701,0,2.0,446.0,64.53,302.8,68.44,55.61,0.107,0.309,0.371,0.481,"$1,179,616 "
58,Brice Garnett,2018,99,71.018,1.0,2.0,634.0,64.45,296.7,66.78,58.63,-0.076,0.188,-0.144,-0.31,"$1,466,224 "
59,Ryan Blaum,2018,81,70.993,0,2.0,433.0,64.31,289.0,66.1,55.46,0.025,0.011,-0.074,-0.033,"$980,877 "
60,Johnson Wagner,2018,75,70.758,0,0,338.0,64.25,286.1,67.87,65.41,0.623,-0.213,0.078,0.715,"$656,322 "
61,Kevin Na,2018,91,70.288,1.0,4.0,1183.0,64.13,289.6,64.66,63.62,0.533,-0.378,0.273,0.801,"$3,578,316 "
62,Zach Johnson,2018,94,69.911,0,2.0,839.0,63.88,289.8,67.43,62.35,0.206,-0.059,0.463,1.035,"$1,957,635 "
63,John Huh,2018,94,70.718,0,2.0,480.0,63.83,287.1,65.8,57.94,0.167,-0.11,0.24,0.251,"$974,538 "
64,James Hahn,2018,85,70.896,0,1.0,596.0,63.73,298.7,68.29,59.62,-0.152,0.323,0.081,0.279,"$1,386,301 "
65,Rod Pampling,2018,62,72.445,0,0,64.0,63.69,288.4,62.64,56.67,-0.421,-0.095,-0.415,-1.094,"$183,806 "
66,Gary Woodland,2018,96,70.161,1.0,3.0,1044.0,63.69,313.5,70.51,54.45,0.007,0.803,0.484,1.066,"$3,108,907 "
67,Cameron Percy,2018,56,70.909,0,2.0,191.0,63.66,295.6,69.56,57.3,-0.205,0.241,0.039,0.285,"$387,612 "
68,Abraham Ancer,2018,98,70.659,0,4.0,589.0,63.64,296.1,66.49,62.69,-0.056,0.325,0.074,0.32,"$1,676,695 "
69,Ben Martin,2018,64,70.974,0,1.0,266.0,63.52,289.6,63.98,58.8,0.118,-0.142,0.119,-0.001,"$532,936 "
70,Branden Grace,2018,67,70.412,0,2.0,590.0,63.49,298.9,67.1,57.78,0.35,0.163,0.174,0.812,"$1,529,289 "
71,Denny McCarthy,2018,71,70.861,0,1.0,267.0,63.45,295.4,68.17,59.83,0.449,0.011,-0.347,0.094,"$498,341 "
72,Aaron Wise,2018,90,70.247,1.0,3.0,1086.0,63.33,302.9,68.81,56.28,0.238,0.41,0.012,0.703,"$3,486,407 "
73,Jason Dufner,2018,71,71.323,0,2.0,557.0,63.3,297.1,64.24,58.25,-0.058,0.256,-0.009,0.011,"$1,497,655 "
74,Matt Kuchar,2018,88,70.461,0,4.0,679.0,63.27,288.0,66.81,63.6,0.348,-0.199,0.216,0.576,"$1,720,097 "
75,Martin Laird,2018,73,70.839,0,3.0,443.0,63.22,299.0,65.9,59.15,0.282,-0.045,0.024,0.47,"$1,017,580 "
76,Roberto Dí_az,2018,72,71.731,0,0,107.0,63.2,286.3,63.73,58.56,0.168,-0.165,-0.6,-0.833,"$235,635 "
77,Paul Casey,2018,74,69.85,1.0,5.0,1319.0,63.14,304.3,67.84,60.58,0.133,0.138,0.586,0.966,"$3,641,771 "
78,Corey Conners,2018,97,70.743,0,1.0,353.0,62.99,303.3,70.19,57.52,-0.385,0.501,0.275,0.193,"$728,296 "
79,Kyle Thompson,2018,50,72.673,0,0,10.0,62.99,285.3,62.44,54.02,-0.75,-0.534,0.036,-1.262,"$24,878 "
80,Troy Merritt,2018,89,70.888,1.0,3.0,616.0,62.93,295.4,65.16,57.6,0.077,0.138,0.086,0.209,"$1,326,989 "
81,Andrew Landry,2018,82,71.059,1.0,5.0,1116.0,62.92,291.1,65.63,56.97,-0.01,0.206,-0.083,-0.039,"$2,642,179 "
82,Hideki Matsuyama,2018,75,70.022,0,2.0,607.0,62.82,302.0,69.29,60.8,0.132,0.194,0.727,1.196,"$2,687,477 "
83,Brandt Snedeker,2018,84,70.379,1.0,4.0,1077.0,62.79,293.1,65.04,60.08,0.478,-0.145,-0.026,0.625,"$2,448,970 "
84,Zac Blair,2018,64,71.215,0,0,176.0,62.76,279.5,66.48,61.43,0.203,-0.345,0.072,0.323,"$330,507 "
85,Danny Lee,2018,88,71.196,0,3.0,481.0,62.65,290.6,65.05,60.81,0.156,0.005,-0.155,0.058,"$1,269,386 "
86,Charles Howell III,2018,104,70.219,0,4.0,885.0,62.59,300.9,69.33,60.87,0.219,0.324,0.163,0.801,"$2,179,725 "
87,Adam Scott,2018,78,70.42,0,2.0,623.0,62.51,304.6,70.66,54.85,-0.285,0.3,0.639,0.779,"$2,237,641 "
88,Tom Hoge,2018,101,70.945,0,3.0,594.0,62.43,291.4,63.62,61.41,-0.162,0.018,0.297,0.074,"$1,358,542 "
89,Webb Simpson,2018,95,69.293,1.0,7.0,1710.0,62.34,293.7,67.93,66.1,0.692,-0.116,0.486,1.432,"$5,376,417 "
90,Chris Stroud,2018,81,71.628,0,1.0,255.0,62.24,289.8,62.94,59.96,0.053,-0.277,-0.056,-0.338,"$565,466 "
91,Bryson DeChambeau,2018,93,69.646,1.0,7.0,1617.0,62.23,305.7,69.65,59.84,0.346,0.586,0.556,1.558,"$8,094,489 "
92,Jonathan Randolph,2018,71,71.945,0,1.0,166.0,62.18,289.4,60.43,59.83,0.115,-0.271,-0.538,-0.877,"$453,328 "
93,Rory Sabbatini,2018,91,70.693,0,1.0,521.0,62.05,292.3,67.85,61.36,0.059,0.217,-0.152,0.358,"$1,126,057 "
94,Scott Brown,2018,102,71.329,0,2.0,422.0,62.03,292.6,65.65,54.79,0.049,-0.265,-0.27,-0.661,"$1,076,678 "
95,Tyrrell Hatton,2018,58,70.091,0,4.0,550.0,61.84,298.8,66.46,62.58,0.335,0.148,0.202,0.938,"$1,943,360 "
96,Alex Noren,2018,67,69.973,0,3.0,989.0,61.73,299.2,64.91,61.74,0.758,0.208,0.107,1.044,"$2,699,150 "
97,Patrick Cantlay,2018,87,69.899,1.0,6.0,1388.0,61.58,303.1,70.69,57.58,-0.182,0.622,0.509,1.096,"$3,963,962 "
98,Jordan Spieth,2018,81,69.904,0,5.0,945.0,61.55,299.8,70.47,61.63,-0.034,0.271,0.409,0.83,"$2,793,536 "
99,J.T. Poston,2018,73,70.915,0,2.0,448.0,61.53,300.7,68.31,57.53,0.135,0.381,-0.373,0.138,"$940,661 "
100,Kevin Chappell,2018,77,70.839,0,4.0,597.0,61.27,308.6,66.52,56.28,-0.344,0.608,0.296,0.323,"$1,608,338 "
101,Shane Lowry,2018,64,70.754,0,0,296.0,61.2,300.7,68.65,53.48,-0.286,0.331,0.245,0.238,"$696,897 "
102,Patrick Rodgers,2018,97,70.731,0,3.0,541.0,61.14,303.5,65.65,57.22,0.561,-0.039,-0.323,0.232,"$1,287,040 "
103,Whee Kim,2018,93,71.477,0,3.0,764.0,61.11,285.8,63.55,58.56,0.427,-0.748,0.03,-0.437,"$1,920,340 "
104,Nick Taylor,2018,94,71.269,0,2.0,420.0,60.94,292.7,67.65,61.83,-0.312,0.049,0.011,-0.235,"$899,373 "
105,Bud Cauley,2018,55,71.356,0,2.0,405.0,60.81,295.4,64.26,60.12,0.367,-0.113,-0.032,0.461,"$900,591 "
106,Si Woo Kim,2018,108,71.367,0,5.0,893.0,60.68,290.8,63.78,57.23,-0.168,-0.014,-0.2,-0.092,"$2,276,114 "
107,Nate Lashley,2018,51,70.999,0,0,168.0,60.58,293.9,68.2,60.59,0.082,0.111,0.036,0.31,"$296,650 "
108,Beau Hossler,2018,104,70.574,0,5.0,957.0,60.47,300.0,67.95,60.0,0.685,0.281,-0.395,0.584,"$2,449,707 "
109,D.A. Points,2018,63,73.019,0,1.0,162.0,60.47,280.8,60.2,53.32,0.11,-1.069,-0.541,-1.449,"$377,265 "
110,Brendan Steele,2018,74,71.021,1.0,3.0,998.0,60.47,310.3,69.24,52.56,-0.576,0.557,0.243,0.029,"$2,291,128 "
111,Nicholas Lindheim,2018,77,71.344,0,1.0,272.0,60.44,293.5,68.04,53.9,0.355,-0.258,-0.368,-0.323,"$593,842 "
112,Andrew Putnam,2018,97,70.579,1.0,5.0,1026.0,60.42,293.8,70.47,61.52,0.052,-0.146,0.38,0.472,"$2,387,382 "
113,Jonas Blixt,2018,67,72.134,0,0,167.0,60.3,293.1,62.02,56.83,0.244,-0.424,-0.563,-0.547,"$368,518 "
114,Ethan Tracy,2018,72,72.038,0,0,157.0,60.25,299.0,64.87,54.88,-0.026,-0.054,-0.424,-0.813,"$364,493 "
115,Byeong Hun An,2018,86,70.19,0,4.0,913.0,60.19,307.9,67.99,61.16,-0.285,0.475,0.448,0.805,"$2,599,264 "
116,Marc Leishman,2018,93,70.26,0,6.0,1148.0,60.17,298.5,66.67,59.07,0.126,-0.006,0.211,0.624,"$3,771,221 "
117,Sam Saunders,2018,80,70.794,0,4.0,420.0,60.14,302.8,65.02,55.79,0.094,0.35,-0.081,0.226,"$981,936 "
118,Anirban Lahiri,2018,82,70.66,0,4.0,555.0,60.09,294.0,64.7,58.35,0.199,0.07,-0.285,0.104,"$1,441,205 "
119,Sean O'Hair,2018,67,71.479,0,2.0,417.0,60.09,302.7,63.84,57.56,-0.207,0.211,-0.073,-0.233,"$1,104,865 "
120,Chesson Hadley,2018,103,70.311,0,7.0,1122.0,60.07,300.0,67.68,56.6,0.208,0.146,0.606,0.859,"$2,768,863 "
121,Mackenzie Hughes,2018,80,71.282,0,1.0,227.0,60.04,294.9,66.01,54.19,-0.177,-0.068,0.353,-0.014,"$518,476 "
122,William McGirt,2018,84,70.791,0,3.0,449.0,59.89,289.3,67.59,62.86,0.2,-0.306,0.091,0.178,"$933,327 "
