,Player_Name,Year,Rounds,Avg_Score,Wins,Top_10,Points,Fairway_Pct,Avg_Drive_Distance,GIR_Pct,Scrambling_Pct,Avg_SG_Putts,Avg_SG_OTT,Avg_SG_APP,Avg_SG_Total,Earnings
154,Roberto DÃ­az,2019,73,71.207,,2,271.0,67.85,287.4,66.58,60.87,.162,.118,-.466,-.123,"$620,178"
155,Chase Wright,2019,75,71.233,,2,265.0,62.62,299.1,67.95,57.79,.379,.013,-.069,.010,"$571,575"
156,Trey Mullinax,2019,77,71.194,,,260.0,51.03,310.2,67.50,58.08,-.353,.341,.134,-.172,"$536,694"
157,Jimmy Walker,2019,74,71.262,,,258.0,55.65,299.2,64.71,63.40,-.130,-.181,.051,.062,"$590,437"
158,Tom Hoge,2019,98,71.608,,1,252.0,61.81,290.4,65.80,59.21,-.284,-.179,.381,-.246,"$573,464"
159,Cameron Davis,2019,76,70.985,,,252.0,58.01,309.0,68.75,60.25,-.204,.197,.165,.137,"$477,467"
160,Kramer Hickok,2019,79,71.243,,1,250.0,69.25,291.0,67.10,60.31,-.604,.336,-.264,-.287,"$494,424"
161,Hudson Swafford,2019,59,71.350,,1,242.0,57.66,295.2,66.76,55.13,-.031,-.047,.119,-.198,"$545,191"
162,Tyler Duncan,2019,89,71.577,,1,238.0,69.63,288.2,68.47,57.54,-.565,.156,-.152,-.758,"$596,502"
164,Brandon Harkins,2019,91,71.519,,1,225.0,56.96,304.3,67.67,53.00,-.481,.030,.042,-.389,"$494,795"
165,Jim Knous,2019,57,71.483,,1,223.0,55.21,296.5,67.71,57.79,-.249,.041,.111,-.372,"$490,976"
166,Adam Svensson,2019,73,71.042,,,223.0,65.24,289.8,69.40,60.70,-.602,.213,.509,.380,"$405,730"
167,Alex Prugh,2019,77,71.322,,,217.0,64.08,303.7,71.44,52.88,-.344,.379,.222,-.066,"$467,732"
168,FabiÃ¡n GÃ³mez,2019,62,71.484,,,209.0,68.17,290.2,68.10,60.67,-.144,.048,-.286,-.159,"$433,027"
169,Joey Garber,2019,63,71.713,,2,209.0,62.52,293.9,66.37,61.74,-.234,.191,-.501,-.684,"$454,296"
170,Brendan Steele,2019,68,71.893,,,204.0,68.71,302.5,69.98,55.82,-.503,.518,-.316,-.530,"$515,139"
171,Anders Albertson,2019,68,71.772,,1,199.0,60.11,293.2,67.71,62.37,-.307,-.265,.165,-.520,"$449,226"
172,Sam Saunders,2019,78,71.493,,1,197.0,56.55,299.9,64.79,59.28,-.082,-.136,.100,-.365,"$413,887"
173,David Hearn,2019,55,71.697,,1,195.0,69.92,279.3,67.49,58.55,-.157,-.158,.009,-.615,"$397,677"
174,Curtis Luck,2019,65,72.001,,1,190.0,55.91,289.4,62.43,59.40,.446,-.546,-.847,-1.104,"$432,569"
175,JuliÃ¡n Etulain,2019,70,71.453,,,189.0,54.81,291.8,63.50,61.59,.048,-.284,-.289,-.434,"$360,653"
176,JosÃ© de JesÃºs RodrÃ­guez,2019,67,71.420,,,187.0,60.31,290.2,64.27,60.29,.151,-.067,-.455,-.240,"$394,402"
177,Anirban Lahiri,2019,73,71.698,,1,164.0,60.08,290.2,62.96,59.57,.116,-.431,-.298,-.752,"$419,620"
179,Ollie Schniederjans,2019,77,71.873,,,153.0,48.47,306.4,62.89,56.89,.147,-.285,-.308,-.471,"$411,682"
180,Ben Silverman,2019,70,71.401,,,143.0,67.97,287.2,66.50,59.51,-.112,.164,-.330,-.357,"$298,497"
181,Ernie Els,2019,51,71.548,,,142.0,59.27,284.7,63.72,64.38,.010,-.463,-.355,-.527,"$304,590"
183,Hunter Mahan,2019,59,71.948,,,141.0,65.61,295.7,68.27,54.90,.102,.262,-.563,-.774,"$287,579"
184,Satoshi Kodaira,2019,67,72.780,,,141.0,67.63,282.3,63.54,51.67,-.504,-.311,-.399,-1.628,"$421,457"
185,John Chin,2019,58,72.485,,1,140.0,58.15,300.0,68.72,54.61,-.318,-.112,-.760,-1.555,"$294,536"
186,Kyle Jones,2019,72,72.079,,,133.0,68.62,284.0,65.99,58.91,-.217,-.030,-.403,-.634,"$277,762"
187,Seth Reeves,2019,73,72.156,,1,124.0,57.22,311.4,66.83,54.25,-.475,.343,-.941,-1.439,"$309,588"
189,Whee Kim,2019,73,72.474,,1,118.0,62.07,284.3,66.18,55.71,.042,-1.035,-.217,-1.290,"$292,773"
192,Cody Gribble,2019,74,72.096,,,111.0,53.64,297.2,61.62,52.63,-.033,-.374,-.427,-1.027,"$248,317"
195,Brady Schnell,2019,53,71.944,,,103.0,67.46,283.3,64.49,57.98,.065,-.439,-.318,-.763,"$210,914"
202,Alex Cejka,2019,58,72.076,,,88.0,67.19,278.0,64.44,59.69,-.482,-.092,-.014,-.844,"$181,155"
204,Sangmoon Bae,2019,60,71.762,,,85.0,61.49,296.5,64.71,58.89,.217,.020,-.568,-.634,"$172,472"
205,J.J. Henry,2019,58,72.135,,1,84.0,65.06,288.8,66.67,61.22,-.657,-.099,-.273,-1.192,"$177,232"
207,Freddie Jacobson,2019,53,71.953,,,72.0,60.62,285.3,63.18,56.21,.142,-.639,-.151,-.826,"$144,500"
220,Rod Pampling,2019,56,72.304,,,42.0,62.76,286.4,64.00,55.49,-.796,-.187,-.473,-1.177,"$102,127"
221,Chris Thompson,2019,48,72.535,,,39.0,54.74,290.7,65.46,55.94,-.354,-.157,-.347,-.982,"$81,635"
226,Michael Kim,2019,61,73.569,,,34.0,52.96,279.3,60.08,51.18,-.185,-1.556,-.545,-2.135,"$104,936"
